ID,MLH
1,0.75
2,0.9
25,0.9230769230769231
27,0.9166666666666666
28,0.9230769230769231
29,0.9285714285714286
30,0.9285714285714286
31,0.8666666666666667
33,0.8571428571428571
34,1.0
35,0.8571428571428571
37,0.7857142857142857
38,1.0
39,0.7857142857142857
40,1.0
41,0.9333333333333333
42,0.9333333333333333
43,0.7692307692307693
44,0.7857142857142857
45,0.8571428571428571
46,0.9285714285714286
47,0.8571428571428571
48,0.9285714285714286
49,0.8571428571428571
50,0.7857142857142857
51,0.7
52,0.8
53,0.9285714285714286
55,0.9166666666666666
56,0.9333333333333333
57,0.9333333333333333
58,0.7857142857142857
59,0.9333333333333333
60,0.6
61,0.6363636363636364
62,0.9333333333333333
63,1.0
64,0.7857142857142857
65,1.0
66,0.8666666666666667
67,0.9090909090909091
68,0.8
69,1.0
70,0.9333333333333333
71,0.8181818181818182
72,1.0
73,1.0
74,1.0
75,0.9166666666666666
