Allele Report,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.2.0,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 6/27/2012 4:44:58 PM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Project: C:\Users\ecarroll\Desktop\Mark A-L To final edit\sets1234578_injL_final.SGF,,,,,,,,,,,,,,,,,,,,,,,
Panel: inj_L_Sol,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Eleanor Rigby,,Stack a lee,,Jubilee,,Dreamland,,Heartland,,Siona,,Lucky girl,,Percy,,Julia,,Trouble,,Dune,
1,2_Inj__LDilSet_2_Maf_A02.fsa,119,119,238,238,473,,141,141,250,250,311,311,130,130,**,**,119,119,247,249,**,**
2,3_Inj__LDilSet_2_Maf_A03.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
3,4_Inj__LDilSet_2_Maf_A04.fsa,119,119,238,238,473,473,141,141,245,250,311,311,130,130,246,246,116,119,**,**,**,**
4,5_Inj__LDilSet_2_Maf_A05.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
5,6_Inj__LDilSet_2_Maf_A06.fsa,119,119,238,238,**,**,141,141,245,246,313,313,130,130,**,**,116,116,247,249,**,**
6,7_Inj__LDilSet_2_Maf_A07.fsa,119,119,238,238,473,,141,141,245,245,313,313,130,130,246,246,116,119,247,247,**,**
7,8_Inj__LDilSet_2_Maf_A08.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**
8,9_Inj__LDilSet_2_Maf_A09.fsa,119,119,238,238,473,,141,141,250,250,311,311,130,130,**,**,116,116,**,**,**,**
9,10_Inj__LDilSet_2_Maf_A10.fsa,119,119,238,238,**,**,**,**,**,**,**,**,**,**,**,**,**,**,247,247,**,**
10,11_Inj__LDilSet_2_Maf_A11.fsa,119,119,238,238,**,**,141,141,245,250,311,311,130,130,246,246,116,116,249,249,**,**
