Allele Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 3/7/2012 10:54:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project: C:\Users\jpwlab\Desktop\Mark Fisher temp\Mark Fisher\New msat scoring\My spectra\Inj 5\sets1234578_inj5.SGF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panel: inj5_All_Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C294,,i-113,,i-127,,Slipknot2,,C277,,cassidy_PigTail,,Sol-11,,Sol-J1,,Sol-M5,,,,,Jackstraw_PigTail,,i-137,,st_stephen,
1,1__Inj_5_Set_2_Maf_A01.fsa,106,106,159,163,223,226,**,**,96,96,269,269,141,153,254,258,380,380,,,,119,119,180,180,257,257
2,2__Inj_5_Set_2_Maf_A02.fsa,106,114,165,169,226,226,286,286,96,96,239,239,143,149,254,256,378,380,391,,,119,129,180,180,257,257
3,3__Inj_5_Set_2_Maf_A03.fsa,**,**,**,**,221,221,**,**,95,98,237,266,**,**,252,252,**,**,,,,117,119,180,180,257,257
4,4__Inj_5_Set_2_Maf_A04.fsa,112,112,163,165,226,226,**,**,96,96,**,**,141,149,**,**,378,401,403,,,119,129,180,180,257,257
5,5__Inj_5_Set_2_Maf_A05.fsa,**,**,**,**,**,**,**,**,95,96,**,**,**,**,**,**,**,**,,,,119,119,180,180,257,257
6,6__Inj_5_Set_2_Maf_A06.fsa,106,106,**,**,**,**,**,**,96,96,239,,149,153,**,**,**,**,,,,119,119,180,180,257,257
7,7__Inj_5_Set_2_Maf_A07.fsa,100,100,163,163,223,226,**,**,96,96,239,239,145,153,254,256,378,380,403,,,119,119,**,**,257,257
8,8__Inj_5_Set_2_Maf_A08.fsa,**,**,**,**,**,**,**,**,95,98,**,**,**,**,**,**,**,**,,,,117,119,**,**,257,257
9,9__Inj_5_Set_2_Maf_A09.fsa,100,108,161,169,**,**,**,**,96,96,239,239,143,149,254,,**,**,,,,117,119,**,**,257,257
10,10__Inj_5_Set_2_Maf_A10.fsa,**,**,**,**,**,**,**,**,96,96,239,269,**,**,253,253,**,**,,,,119,129,180,180,257,257
11,11__Inj_5_Set_2_Maf_A11.fsa,100,100,163,163,220,222,**,**,96,96,239,239,141,153,258,258,380,380,,,,119,119,**,**,**,**
12,12__Inj_5_Set_2_Maf_A12.fsa,100,100,163,169,223,223,286,286,96,96,239,239,145,149,254,258,380,399,401,407,,119,119,180,180,257,257
13,13__Inj_5_Set_2_Maf_B01.fsa,100,106,163,163,220,226,286,286,96,96,239,269,149,153,254,256,391,393,405,,,119,129,180,180,257,257
14,14__Inj_5_Set_2_Maf_B02.fsa,100,112,163,169,223,223,286,286,96,96,239,275,141,153,254,254,380,403,405,,,119,129,180,180,257,257
15,15__Inj_5_Set_2_Maf_B03.fsa,100,100,169,169,223,226,286,286,96,96,269,269,141,145,254,254,380,405,,,,119,127,180,180,257,257
16,16__Inj_5_Set_2_Maf_B04.fsa,112,112,163,169,223,226,286,286,96,96,239,269,141,145,254,258,391,OL,403,,,119,129,180,180,257,257
17,17__Inj_5_Set_2_Maf_B05.fsa,106,112,163,169,223,226,286,286,96,96,239,275,141,141,256,256,380,386,,,,117,119,180,180,257,257
18,18__Inj_5_Set_2_Maf_B06.fsa,106,106,159,165,**,**,**,**,96,96,239,275,**,**,**,**,380,380,,,,119,129,180,180,257,257
19,19__Inj_5_Set_2_Maf_B07.fsa,100,112,169,169,220,220,286,286,96,96,239,269,141,145,**,**,384,386,393,,,119,129,180,180,257,257
20,20__Inj_5_Set_2_Maf_B08.fsa,100,100,163,169,226,226,**,**,96,96,239,275,145,149,258,258,378,380,,,,117,129,180,180,257,257
21,21__Inj_5_Set_2_Maf_B09.fsa,106,106,163,167,223,226,**,**,96,96,239,269,141,149,254,256,380,384,386,,,117,119,**,**,257,257
22,22__Inj_5_Set_2_Maf_B10.fsa,112,112,163,165,223,226,286,286,96,96,269,275,143,153,254,254,380,391,393,,,117,117,**,**,257,257
23,23__Inj_5_Set_2_Maf_B11.fsa,108,112,165,169,**,**,**,**,96,96,239,269,149,149,256,258,380,382,,,,129,129,**,**,257,257
24,24__Inj_5_Set_2_Maf_B12.fsa,100,106,163,169,223,223,**,**,96,96,239,239,149,153,258,,378,380,,,,117,117,**,**,257,257
25,25__Inj_5_Set_2_Maf_C01.fsa,106,106,159,163,220,223,286,,96,96,239,239,153,153,254,254,384,386,389,,,119,119,**,**,257,257
26,26__Inj_5_Set_2_Maf_C02.fsa,92,106,169,169,223,226,286,286,96,96,239,275,149,153,254,258,384,386,388,,,119,119,**,**,257,257
27,27__Inj_5_Set_2_Maf_C03.fsa,100,106,169,169,223,226,286,286,96,96,239,269,149,149,254,254,391,391,,,,119,119,180,180,257,257
28,28__Inj_5_Set_2_Maf_C04.fsa,100,100,165,165,223,223,286,286,96,96,269,269,149,149,258,258,380,384,386,,,117,129,180,180,257,257
29,29__Inj_5_Set_2_Maf_C05.fsa,106,106,169,169,**,**,286,286,96,96,239,239,141,141,258,258,401,403,,409,,119,119,**,**,257,260
30,30__Inj_5_Set_2_Maf_C06.fsa,106,106,163,169,223,226,286,286,96,96,239,269,141,149,254,256,393,395,403,,,119,129,180,180,257,257
31,31__Inj_5_Set_2_Maf_C07.fsa,106,106,165,169,220,223,286,286,96,96,239,239,141,141,254,258,380,384,386,,,119,127,180,180,257,257
32,32__Inj_5_Set_2_Maf_C08.fsa,92,106,163,169,220,223,286,286,96,96,269,269,149,153,254,254,384,386,395,,,119,129,180,180,257,257
33,33__Inj_5_Set_2_Maf_C09.fsa,106,106,163,169,223,226,286,286,96,96,239,275,141,145,256,258,380,391,393,,,119,119,180,,257,257
34,34__Inj_5_Set_2_Maf_C10.fsa,100,112,165,169,223,223,286,286,96,96,239,269,141,141,254,254,380,391,393,,,117,119,180,180,257,257
35,35__Inj_5_Set_2_Maf_C11.fsa,100,100,163,163,220,223,286,286,96,96,239,269,141,149,254,254,OL,395,,,,117,119,179,180,257,257
36,36__Inj_5_Set_2_Maf_C12.fsa,92,100,163,169,**,**,286,286,96,96,269,269,141,153,254,258,380,382,,,,119,119,**,**,257,257
37,37__Inj_5_Set_2_Maf_D01.fsa,100,112,163,165,220,223,286,286,96,96,269,269,141,141,256,256,380,380,,,,117,127,180,180,257,257
38,38__Inj_5_Set_2_Maf_D02.fsa,100,100,167,169,223,226,286,286,96,96,239,275,143,149,254,258,380,384,386,,,119,129,180,180,257,257
39,39__Inj_5_Set_2_Maf_D03.fsa,106,106,163,169,223,223,286,286,96,96,269,275,141,149,254,254,378,380,,,,119,119,180,180,257,257
40,40__Inj_5_Set_2_Maf_D04.fsa,**,**,163,169,223,223,286,286,93,96,239,269,141,143,254,254,380,391,,,,119,129,180,180,257,257
41,41__Inj_5_Set_2_Maf_D05.fsa,100,112,163,163,223,226,286,286,96,96,263,269,141,153,254,258,380,OL,395,,,117,119,180,180,257,257
42,42__Inj_5_Set_2_Maf_D06.fsa,100,100,163,165,223,226,**,**,96,96,275,275,145,153,254,254,403,405,,,,119,119,180,180,257,257
43,43__Inj_5_Set_2_Maf_D07.fsa,100,108,165,167,223,226,286,286,96,96,269,269,143,153,254,258,380,391,393,,,117,129,180,,257,
44,44__Inj_5_Set_2_Maf_D08.fsa,100,100,159,163,223,226,286,286,96,96,239,275,141,141,254,258,380,405,,407,,119,129,180,180,257,260
45,45__Inj_5_Set_2_Maf_D09.fsa,106,106,163,169,223,226,286,,96,96,239,239,145,149,254,258,393,395,,,,117,129,180,180,257,257
46,46__Inj_5_Set_2_Maf_D10.fsa,100,106,163,163,**,**,**,**,96,96,238,269,141,145,253,253,380,380,,,,117,117,**,**,257,257
47,47__Inj_5_Set_2_Maf_D11.fsa,100,100,165,165,**,**,**,**,96,96,269,269,141,153,**,**,384,386,,,,119,129,180,180,257,257
48,48__Inj_5_Set_2_Maf_D12.fsa,100,106,169,169,226,226,286,286,96,96,239,269,141,143,254,258,378,380,403,,,119,119,180,180,257,257
49,49__Inj_5_Set_2_Maf_E01.fsa,100,112,165,165,226,226,286,286,96,96,269,269,143,153,258,258,376,378,401,,,119,129,180,180,257,260
50,50__Inj_5_Set_2_Maf_E02.fsa,106,106,163,165,223,223,286,286,96,96,239,239,141,141,254,254,389,391,403,,,117,119,**,**,257,257
51,51__Inj_5_Set_2_Maf_E03.fsa,106,106,163,169,223,226,286,286,96,96,239,239,141,145,258,258,384,386,389,,,119,129,180,180,257,257
52,52__Inj_5_Set_2_Maf_E04.fsa,112,112,163,163,**,**,286,286,96,96,239,269,141,149,254,254,378,380,,,,129,129,180,180,257,257
53,53__Inj_5_Set_2_Maf_E05.fsa,96,96,163,169,**,**,**,**,96,96,**,**,141,149,**,**,391,OL,,,,119,119,180,180,257,257
54,54__Inj_5_Set_2_Maf_E06.fsa,106,108,163,169,223,226,**,**,96,96,269,269,141,141,258,258,380,380,,,,117,119,180,180,257,257
55,55__Inj_5_Set_2_Maf_E07.fsa,106,112,163,169,223,223,**,**,96,96,269,269,141,141,254,254,384,386,,,,117,129,180,180,257,257
56,56__Inj_5_Set_2_Maf_E08.fsa,100,106,163,169,223,226,**,**,96,96,239,263,149,153,256,258,384,386,,,,117,119,180,180,**,**
57,57__Inj_5_Set_2_Maf_E09.fsa,106,106,163,169,223,226,**,**,96,96,**,**,141,153,256,258,380,391,,,,117,117,180,180,257,257
58,58__Inj_5_Set_2_Maf_E10.fsa,100,100,167,169,223,223,**,**,96,96,239,269,141,153,254,258,391,OL,403,,,119,119,180,180,**,**
59,59__Inj_5_Set_2_Maf_E11.fsa,106,112,163,163,**,**,**,**,96,96,269,269,145,153,254,,378,380,,,,119,119,180,180,257,257
60,60__Inj_5_Set_2_Maf_E12.fsa,100,112,169,169,**,**,**,**,96,96,**,**,149,153,**,**,**,**,,,,117,119,180,180,257,260
61,61__Inj_5_Set_2_Maf_F01.fsa,106,112,163,163,220,223,286,286,96,96,239,275,141,141,254,254,380,380,,,,117,129,**,**,257,257
62,62__Inj_5_Set_2_Maf_F02.fsa,100,106,165,165,223,226,**,**,96,96,239,275,145,145,254,258,380,380,,,,119,119,**,**,257,257
63,63__Inj_5_Set_2_Maf_F03.fsa,100,106,163,163,223,223,286,286,96,96,239,269,141,149,254,258,386,389,391,,,129,129,**,**,257,257
64,64__Inj_5_Set_2_Maf_F04.fsa,106,106,165,165,220,223,286,286,96,96,263,269,149,149,**,**,386,386,,407,,119,119,180,180,257,257
65,65__Inj_5_Set_2_Maf_F05.fsa,106,112,163,165,223,223,**,**,96,96,**,**,141,149,254,254,391,393,,,,117,117,**,**,257,257
66,66__Inj_5_Set_2_Maf_F06.fsa,106,112,169,169,223,226,**,**,96,96,239,239,141,149,254,258,391,393,,,,119,119,180,180,257,257
67,67__Inj_5_Set_2_Maf_F07.fsa,100,106,169,169,223,223,**,**,96,96,239,239,141,149,254,254,378,380,,,,119,119,180,180,257,257
68,68__Inj_5_Set_2_Maf_F08.fsa,106,106,**,**,**,**,**,**,96,96,**,**,149,,**,**,**,**,,,,119,119,180,180,254,257
69,69__Inj_5_Set_2_Maf_F09.fsa,100,106,165,169,**,**,**,**,96,96,**,**,141,141,**,**,380,386,,,,119,119,180,180,257,257
70,70__Inj_5_Set_2_Maf_F10.fsa,100,100,163,169,**,**,**,**,96,96,**,**,**,**,256,,384,386,,,,117,119,180,180,257,257
71,71__Inj_5_Set_2_Maf_F11.fsa,106,112,169,169,223,226,286,286,96,96,239,275,143,153,254,256,384,386,391,,,129,129,180,180,257,257
72,72__Inj_5_Set_2_Maf_F12.fsa,108,108,**,**,**,**,**,**,96,96,**,**,149,,**,**,380,405,,,,119,129,180,180,257,257
73,73__Inj_5_Set_2_Maf_G01.fsa,106,112,163,163,223,223,286,286,96,96,239,239,141,145,254,254,378,380,,,,119,129,179,180,257,257
74,74__Inj_5_Set_2_Maf_G02.fsa,106,106,165,169,223,226,286,286,96,96,239,239,141,141,254,258,380,380,,,,119,119,179,179,257,257
75,75__Inj_5_Set_2_Maf_G03.fsa,106,112,167,169,226,226,286,286,96,96,239,269,145,149,256,256,384,386,,,,129,129,180,180,257,257
76,76__Inj_5_Set_2_Maf_G04.fsa,106,106,163,169,223,226,286,286,96,96,269,275,149,149,258,258,403,405,,405,,119,129,180,180,257,257
77,77__Inj_5_Set_2_Maf_G05.fsa,106,112,163,169,223,223,286,286,96,96,239,239,149,153,256,258,384,386,,,,117,119,180,180,257,260
78,78__Inj_5_Set_2_Maf_G06.fsa,100,106,169,169,223,223,286,286,96,96,239,269,149,153,254,258,380,384,386,,,119,119,180,180,257,257
79,79__Inj_5_Set_2_Maf_G07.fsa,100,100,159,169,223,223,286,286,96,96,239,269,141,153,256,256,386,391,OL,,,119,119,180,180,257,257
80,80__Inj_5_Set_2_Maf_G08.fsa,106,106,163,163,223,226,286,286,96,96,269,269,141,149,254,254,384,386,,,,119,119,180,180,254,257
81,81__Inj_5_Set_2_Maf_G09.fsa,106,108,169,169,223,223,**,**,96,96,239,268,141,149,256,,384,386,,,,119,129,180,180,257,257
82,82__Inj_5_Set_2_Maf_G10.fsa,106,106,163,169,223,223,**,**,96,96,269,269,141,141,254,256,378,380,,,,119,119,180,180,257,257
83,83__Inj_5_Set_2_Maf_G11.fsa,100,106,163,167,**,**,**,**,96,96,239,239,149,149,**,**,378,380,,,,117,119,180,180,257,257
84,84__Inj_5_Set_2_Maf_G12.fsa,100,112,159,165,226,226,286,286,96,96,239,239,141,141,254,254,378,380,,,,119,119,180,180,257,257
85,85__Inj_5_Set_2_Maf_H01.fsa,106,106,159,169,223,223,**,**,96,96,**,**,145,145,254,,**,**,,,,119,129,180,180,257,257
86,86__Inj_5_Set_2_Maf_H02.fsa,106,106,165,165,223,226,286,286,96,96,239,275,149,153,256,258,380,380,,,,119,119,**,**,257,257
87,87__Inj_5_Set_2_Maf_H03.fsa,106,112,159,169,223,226,286,286,96,96,239,275,143,153,254,256,380,391,393,,,129,129,180,180,257,257
88,88__Inj_5_Set_2_Maf_H04.fsa,100,106,163,163,223,226,286,286,96,96,269,269,141,145,254,256,378,380,389,,,117,117,**,**,257,257
89,89__Inj_5_Set_2_Maf_H05.fsa,106,108,163,169,**,**,**,**,96,96,239,239,143,149,256,256,384,386,,,,119,119,180,180,257,257
90,90__Inj_5_Set_2_Maf_H06.fsa,100,108,165,165,220,223,286,286,96,96,239,269,141,141,258,258,380,380,,,,119,119,180,180,257,257
91,91__Inj_5_Set_2_Maf_H07.fsa,**,**,**,**,**,**,**,**,92,95,**,**,**,**,**,**,**,**,,,,119,119,**,**,260,260
92,92__Inj_5_Set_2_Maf_H08.fsa,100,106,163,169,220,223,**,**,96,96,269,269,141,141,254,,391,393,,,,117,129,180,180,257,257
93,93__Inj_5_Set_2_Maf_H09.fsa,112,112,163,169,223,226,286,286,96,96,239,269,141,149,254,258,403,405,,,,119,129,180,180,257,
94,94__Inj_5_Set_2_Maf_H10.fsa,106,112,163,165,226,226,286,286,96,96,269,275,141,149,254,254,380,384,,,,119,129,180,180,257,257
95,95__Inj_5_Set_2_Maf_H11.fsa,106,106,165,169,223,226,286,286,96,96,239,269,141,143,256,256,384,386,,,,119,119,180,180,257,257
96,96__Inj_5_Set_2_Maf_H12.fsa,106,106,163,165,OL,226,286,286,96,96,269,269,141,145,254,256,378,380,,,,117,119,180,180,257,257
97,97__Inj_5_Set_3_Maf_A01.fsa,92,106,163,169,223,226,286,286,96,96,239,269,149,153,254,254,382,393,395,,,117,119,180,180,257,257
98,98__Inj_5_Set_3_Maf_A02.fsa,100,112,165,169,223,226,286,286,96,96,239,275,141,141,254,258,382,393,395,,,119,129,**,**,257,257
99,99__Inj_5_Set_3_Maf_A03.fsa,100,106,169,169,223,226,**,**,96,96,239,269,149,149,254,258,405,407,,,,119,129,**,**,257,257
100,100__Inj_5_Set_3_Maf_A04.fsa,112,112,163,169,220,223,286,286,96,96,269,269,141,149,254,258,382,393,395,,,119,119,**,**,257,257
101,101__Inj_5_Set_3_Maf_A05.fsa,92,112,163,163,220,223,286,286,96,96,275,275,143,153,254,254,382,393,395,,,117,119,**,**,257,257
102,102__Inj_5_Set_3_Maf_A06.fsa,100,106,163,163,223,226,286,286,96,96,239,239,141,149,258,258,382,382,,,,119,119,180,180,257,257
103,103__Inj_5_Set_3_Maf_A07.fsa,106,108,163,169,223,223,286,286,96,96,239,269,141,145,254,258,388,391,393,,,119,119,180,180,257,257
