Allele Report,,,,,,,,,,,,,,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 2.2.0,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time: 6/28/2012 2:51:43 PM,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Project: K:\Check_6_28_2012\set 2 inj 3.SGF,,,,,,,,,,,,,,,,,,,,,,,,
Panel: inj3_All_Sol,,,,,,,,,,,,,,,,,,,,,,,,
Size: Liz600 ICBR,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Report Style: Marker Table,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,C234,,C368_PigTail,,i-135,,C334,,C1,,Seastones,,C121_PigTail,,i-132,,wharf-rat_PigTail,,C264,,,C367,
1,1__Inj_3_Set_2_Maf_A01.fsa,118,139,188,188,91,93,189,189,275,275,84,91,181,185,240,240,321,321,OL,,,230,230
2,2__Inj_3_Set_2_Maf_A02.fsa,139,139,188,196,91,93,**,**,**,**,84,91,153,187,242,244,321,321,**,**,,230,230
3,3__Inj_3_Set_2_Maf_A03.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,317,319,**,**,,**,**
4,4__Inj_3_Set_2_Maf_A04.fsa,136,139,188,188,91,91,189,189,**,**,84,91,181,183,244,244,**,**,OL,OL,,230,230
5,5__Inj_3_Set_2_Maf_A05.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,,**,**
6,6__Inj_3_Set_2_Maf_A06.fsa,139,139,188,188,91,93,191,191,275,275,84,91,153,153,**,**,321,321,OL,OL,,230,232
7,7__Inj_3_Set_2_Maf_A07.fsa,118,124,188,188,93,93,189,189,277,277,84,84,181,181,240,240,**,**,OL,151,OL,230,230
8,8__Inj_3_Set_2_Maf_A08.fsa,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,,**,**
9,9__Inj_3_Set_2_Maf_A09.fsa,118,124,**,**,91,91,189,189,275,275,84,91,153,183,240,240,**,**,OL,OL,,230,230
10,10__Inj_3_Set_2_Maf_A10.fsa,124,124,188,188,91,93,189,189,**,**,84,84,**,**,**,**,319,321,OL,,,230,230
